,brandName,storeName,phoneNumber,street,suburb,state,country,postcode,latitude,longitude,openingHours,services
176,BIG W,BIG W Dapto,1300411875,75 Princess Highway ,Dapto,NSW,Australia,2530,-34.493984,150.79561,"['Monday: 8:30 AM - 7:00 PM', 'Tuesday: 8:30 AM - 7:00 PM', 'Wednesday: 8:30 AM - 7:00 PM', 'Thursday: 8:30 AM - 9:00 PM', 'Friday: 8:30 AM - 7:00 PM', 'Saturday: 8:30 AM - 6:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Bike Build', 'Direct to Boot', 'In-Store Layby', 'Party', 'Pick Up', 'Soda Stream Refill']"
177,Choice The Discount Store,Choice The Discount Store - Ashmore,0755970342,SHOP 30 208 CURRUMBURRA ROAD,ASHMORE CITY,QLD,Australia,4214,-27.977857110092,153.381198634216,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 3:00 PM']",['N/A']
178,Choice The Discount Store,Choice The Discount Store - Browns Plains,0730869653,18 COMMERCE DRIVE Shop J08,BROWNS PLAINS,QLD,Australia,4118,-27.663538357086,153.046595339219,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM']",['N/A']
179,Choice The Discount Store,Choice The Discount Store - Bundaberg,0741516026,7 JOHANNA BOULEVARD SHOP 3,KENSINGTON,QLD,Australia,4670,-24.889538448718,152.322058851049,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 6:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM']",['N/A']
180,Choice The Discount Store,Choice The Discount Store - Burleigh,0755205231,197-207 REEDY CREEK ROAD ,BURLEIGH HEADS,QLD,Australia,4220,-28.099692826206,153.438218642696,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
181,Choice The Discount Store,Choice The Discount Store - Chancellor Park,0754562144,30 CHANCELLOR VILLAGE BOULEVARD SHOP 1,SIPPY DOWNS,QLD,Australia,4556,-26.718585601411,153.047863102075,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM']",['N/A']
182,Choice The Discount Store,Choice The Discount Store - Deception Bay,0732031063,"MARKET SQUARE DECEPTION BAY, CNR DECEPTION BAY ROAD AND BAY AVENUE",DECEPTION BAY,QLD,Australia,4508,-27.196609981915,153.029559959206,"['MONDAY: 8:30 AM - 5:00 PM', 'TUESDAY: 8:30 AM - 5:00 PM', 'WEDNESDAY: 8:30 AM - 5:00 PM', 'THURSDAY: 8:30 AM - 6:00 PM', 'FRIDAY: 8:30 AM - 5:00 PM', 'SATURDAY: 9:00 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 3:00 PM']",['N/A']
183,Choice The Discount Store,Choice The Discount Store - Gladstone,0749721232,Shop 16-18 Gladstone Central Shopping Centre 65/69 Dawson Hwy,WEST GLADSTONE,QLD,Australia,4680,-23.855029961027,151.248839717009,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 6:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM']",['N/A']
184,Choice The Discount Store,Choice The Discount Store - Helensvale,0755299373,"SHOP 24 HELENSVALE PLAZA, 12 SIR JOHN OVERALL DRIVE",HELENSVALE,QLD,Australia,4212,-27.9235076103,153.33464489008,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
185,Choice The Discount Store,Choice The Discount Store - Kallangur,0738806053,"SHOP MM1 LILLYBROOK SHOPPING CENTRE, 1 BRICKWORKS ROAD",KALLANGUR,QLD,Australia,4503,-27.242632080131,152.994143482656,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 6:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM']",['N/A']
